provider;provider_country_name;provider_country_iso3;host_country_name;host_country_iso3;region_name;location;az_number;launch_year;source;;;;
Azure;United States of America;USA;Malaysia;MYS;Malaysia West;Kuala Lumpur;1;2025;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Mexico ;MEX;Mexico Central;Queretaro;1;2024;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;New Zealand ;NZL;New Zealand North;Auckland;1;2024;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;North Central US ;Illinois;1;2009;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Ireland;IRL;North Europe;Ireland;1;2009;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Finland;FIN;North Europe 3;Helsinki;1;NA;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Norway;NOR;Norway East;Oslo;1;2019;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Poland ;POL;Poland Central;Warsaw;1;2023;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Qatar;QAT;Qatar Central;Doha;1;2022;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Saudi Arabia;SAU;Saudi Arabia East;Dammam;1;NA;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;South Africa ;ZAF;South Africa North;Johannesburg;1;2019;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;South Central US;Texas;1;2008;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;India;IND;South India;Chennai;1;2015;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Malaysia;MYS;Southeast Asia 3;Johor Bahru;1;NA;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Switzerland;CHE;Switzerland North;Zurich;1;2019;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Taiwan;TWN;Taiwan North;Taipei;1;NA;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;West US 3;Arizona;1;2021;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;East US (Phoenix);Phoenix;1;NA;https://learn.microsoft.com/en-us/azure/reliability/regions-list;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-west1 (Oregon);Oregon;1;2016;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-west2 (Los Angeles);Los Angeles;1;2018;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-west3 (Salt Lake City);Salt Lake City;1;2020;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-west4 (Las Vegas);Las Vegas;1;2020;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-central1 (Iowa);Iowa;1;2008;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-south1 (Dallas);Dallas;1;2022;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-east1 (South Carolina);South Carolina;1;2015;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-east4 (North Virginia);North Virginia;1;2017;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United States of America;USA;us-east5 (Columbus);Columbus;1;2022;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Canada;CAN;northamerica-northeast2 (Toronto);Toronto;1;2021;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Canada;CAN;northamerica-northeast1 (Montreal);Montreal;1;2018;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Mexico;MEX;northamerica_south1 (Mexico);Mexico;1;2025;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Brazil;BRA;southamerica-east1 (Sao Paulo);Sao Paulo;1;2017;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
