"surplus_country_iso3","surplus_country_name","deficit_country_iso3","deficit_country_name","trade_value","year","total_trade_year"
"JPN","Japan","KOR","Rep. of Korea",3475.876422,2022,383431.321529001
"KOR","Rep. of Korea","SGP","Singapore",1187.533303,2017,224809.547288
"KOR","Rep. of Korea","SGP","Singapore",1187.533303,2017,224809.547288
"KOR","Rep. of Korea","SGP","Singapore",2994.829637,2021,348477.224363999
"KOR","Rep. of Korea","SGP","Singapore",2994.829637,2021,348477.224363999
"KOR","Rep. of Korea","SGP","Singapore",5075.196174,2022,383431.321529001
"KOR","Rep. of Korea","SGP","Singapore",5075.196174,2022,383431.321529001
"KOR","Rep. of Korea","SGP","Singapore",7291.785285,2023,363459.883593
"KOR","Rep. of Korea","SGP","Singapore",7291.785285,2023,363459.883593
"USA","USA","KOR","Rep. of Korea",2768.048826,2017,224809.547288
"USA","USA","KOR","Rep. of Korea",2768.048826,2017,224809.547288
"USA","USA","KOR","Rep. of Korea",2108.494024,2018,239270.915695
"USA","USA","KOR","Rep. of Korea",2108.494024,2018,239270.915695
"USA","USA","KOR","Rep. of Korea",1815.968753,2019,250856.902919
"USA","USA","KOR","Rep. of Korea",1815.968753,2019,250856.902919
"USA","USA","KOR","Rep. of Korea",1672.833832,2020,283355.494495001
"USA","USA","KOR","Rep. of Korea",1672.833832,2020,283355.494495001
"KOR","Rep. of Korea","VNM","Viet Nam",4646.946903,2017,224809.547288
"KOR","Rep. of Korea","VNM","Viet Nam",4646.946903,2017,224809.547288
"KOR","Rep. of Korea","VNM","Viet Nam",4468.286068,2018,239270.915695
"KOR","Rep. of Korea","VNM","Viet Nam",4468.286068,2018,239270.915695
"KOR","Rep. of Korea","VNM","Viet Nam",4010.417399,2019,250856.902919
"KOR","Rep. of Korea","VNM","Viet Nam",4010.417399,2019,250856.902919
"KOR","Rep. of Korea","VNM","Viet Nam",4817.057728,2020,283355.494495001
"KOR","Rep. of Korea","VNM","Viet Nam",4817.057728,2020,283355.494495001
"KOR","Rep. of Korea","VNM","Viet Nam",4390.750149,2021,348477.224363999
"KOR","Rep. of Korea","VNM","Viet Nam",4390.750149,2021,348477.224363999
"KOR","Rep. of Korea","VNM","Viet Nam",5683.189939,2022,383431.321529001
"KOR","Rep. of Korea","VNM","Viet Nam",5683.189939,2022,383431.321529001
"MYS","Malaysia","MEX","Mexico",2028.402841,2021,348477.224363999
"MYS","Malaysia","MEX","Mexico",2028.402841,2021,348477.224363999
"MYS","Malaysia","MEX","Mexico",2348.864874,2022,383431.321529001
"MYS","Malaysia","MEX","Mexico",2348.864874,2022,383431.321529001
"MYS","Malaysia","MEX","Mexico",1960.312927,2023,363459.883593
"MYS","Malaysia","MEX","Mexico",1960.312927,2023,363459.883593
"USA","USA","MEX","Mexico",3584.433109,2017,224809.547288
"USA","USA","MEX","Mexico",3584.433109,2017,224809.547288
"USA","USA","MEX","Mexico",3873.887479,2018,239270.915695
"USA","USA","MEX","Mexico",3873.887479,2018,239270.915695
"USA","USA","MEX","Mexico",6566.508585,2019,250856.902919
"USA","USA","MEX","Mexico",6566.508585,2019,250856.902919
"USA","USA","MEX","Mexico",8189.650843,2020,283355.494495001
"USA","USA","MEX","Mexico",8189.650843,2020,283355.494495001
"USA","USA","MEX","Mexico",6942.00111,2021,348477.224363999
"USA","USA","MEX","Mexico",6942.00111,2021,348477.224363999
"USA","USA","MEX","Mexico",7779.935522,2022,383431.321529001
"USA","USA","MEX","Mexico",7779.935522,2022,383431.321529001
"USA","USA","MEX","Mexico",7702.787377,2023,363459.883593
"USA","USA","MEX","Mexico",7702.787377,2023,363459.883593
"VNM","Viet Nam","MEX","Mexico",2574.686048,2023,363459.883593
"VNM","Viet Nam","MEX","Mexico",2574.686048,2023,363459.883593
"MYS","Malaysia","NLD","Netherlands",2530.464352,2017,224809.547288
"MYS","Malaysia","NLD","Netherlands",2530.464352,2017,224809.547288
"MYS","Malaysia","NLD","Netherlands",2552.078957,2018,239270.915695
"MYS","Malaysia","NLD","Netherlands",2552.078957,2018,239270.915695
"MYS","Malaysia","NLD","Netherlands",2571.28671,2019,250856.902919
"MYS","Malaysia","NLD","Netherlands",2571.28671,2019,250856.902919
"MYS","Malaysia","NLD","Netherlands",2282.286721,2020,283355.494495001
"MYS","Malaysia","NLD","Netherlands",2282.286721,2020,283355.494495001
"MYS","Malaysia","SGP","Singapore",1855.443017,2020,283355.494495001
"MYS","Malaysia","SGP","Singapore",1855.443017,2020,283355.494495001
"MYS","Malaysia","SGP","Singapore",3621.841885,2021,348477.224363999
"MYS","Malaysia","SGP","Singapore",3621.841885,2021,348477.224363999
"MYS","Malaysia","SGP","Singapore",2856.198266,2022,383431.321529001
"MYS","Malaysia","SGP","Singapore",2856.198266,2022,383431.321529001
"MYS","Malaysia","SGP","Singapore",2114.910652,2023,363459.883593
"MYS","Malaysia","SGP","Singapore",2114.910652,2023,363459.883593
"MYS","Malaysia","USA","USA",5998.264065,2017,224809.547288
"MYS","Malaysia","USA","USA",5998.264065,2017,224809.547288
"MYS","Malaysia","USA","USA",7203.147475,2018,239270.915695
"MYS","Malaysia","USA","USA",7203.147475,2018,239270.915695
"MYS","Malaysia","USA","USA",8351.395384,2019,250856.902919
"MYS","Malaysia","USA","USA",8351.395384,2019,250856.902919
"MYS","Malaysia","USA","USA",7965.32025,2020,283355.494495001
"MYS","Malaysia","USA","USA",7965.32025,2020,283355.494495001
"MYS","Malaysia","USA","USA",9643.264824,2021,348477.224363999
"MYS","Malaysia","USA","USA",9643.264824,2021,348477.224363999
"MYS","Malaysia","USA","USA",4971.237881,2022,383431.321529001
"MYS","Malaysia","USA","USA",4971.237881,2022,383431.321529001
"MYS","Malaysia","USA","USA",3178.396715,2023,363459.883593
"MYS","Malaysia","USA","USA",3178.396715,2023,363459.883593
"VNM","Viet Nam","MYS","Malaysia",1124.639826,2017,224809.547288
"VNM","Viet Nam","MYS","Malaysia",1124.639826,2017,224809.547288
"MYS","Malaysia","VNM","Viet Nam",3228.381566,2023,363459.883593
"MYS","Malaysia","VNM","Viet Nam",3228.381566,2023,363459.883593
"NLD","Netherlands","POL","Poland",1591.217424,2020,283355.494495001
"NLD","Netherlands","POL","Poland",1591.217424,2020,283355.494495001
"VNM","Viet Nam","NLD","Netherlands",1537.858446,2017,224809.547288
"VNM","Viet Nam","NLD","Netherlands",1537.858446,2017,224809.547288
"SGP","Singapore","VNM","Viet Nam",4782.943896,2023,363459.883593
"SGP","Singapore","VNM","Viet Nam",4782.943896,2023,363459.883593
